the  la
talented  talentueux
nominee  candidat
gasoline  de l'essence
extended  élargi
stiff  rigide
output  sortir
slap  gifler
jaw  mâchoire
diabetes  diabète
toxic  toxique
alleged  allégué
grief  douleur
mysterious  mystérieux
rocket  fusée
donate  faire un don
tackle  s'attaquer à
inmate  détenu
bow  arc
ours  les notres
dignity  dignité
parental  parental
bubble  bulle
sword  épée
tightly  fermement
barn  grange
buddy  copain
seventh  septième
specialize  spécialiser
carpet  tapis
glory  gloire
protective  protecteur
tuck  rentrer
drum  tambouriner
faint  perdre connaissance
(queen)  (reine)
dilemma  dilemme
input  contribution
liability  responsabilité
northeast  nord-est
shallow  peu profond
sail  naviguer
improved  amélioré
merchant  marchande
bloody  sanglant
stadium  stade
withdrawal  retrait
nest  nid
associated  associée
refrigerator  réfrigérateur
thoroughly  à fond
lane  voie
ancestor  ancêtre
condemn  condamner
steam  fumer
accent  accent
optimistic  optimiste
cage  cage
shrimp  crevette
equip  équiper
unite  unir
courtroom  salle d'audience
homeland  patrie
wolf  loup
rack  étagère
costume  costume
statute  loi
grin  sourire
cartoon  dessin animé
productivity  productivité
bug  bogue
symbolic  symbolique
bless  bénir
tumor  tumeur
hostile  hostile
agriculture  agriculture
aunt  tante
combined  combiné
conceive  concevoir
instantly  immédiatement
bankruptcy  la faillite
bonus  prime
vaccine  vaccin
mixed  mixte
opposed  opposé
collaboration  collaboration
patience  patience
orbit  orbite
spite  dépit
voting  vote
grasp  saisir
tropical  tropical
patrol  patrouille
revelation  révélation
willingness  volonté
jewelry  bijoux
calm  calmer
cuban  cubain
haul  transporter
concede  concéder
wagon  wagon
afterward  après
spectacular  spectaculaire
ruin  se ruiner
sheer  virer
immune  immunitaire
ass  cul
reliability  fiabilité
alongside  aux côtés de
fascinating  fascinant
exotic  exotique
bull  taureau
clip  agrafe
thigh  la cuisse
sheep  mouton
discourage  décourager
drawer  tiroir
runner  coureur
coordinator  coordinateur
ideological  idéologique
intimate  intime
empire  empire
secular  séculier
cab  taxi
documentary  documentaire
neutral  neutre
exam  examen
tender  tendre
biology  la biologie
flexible  souple
(web)  (la toile)
progressive  progressive
conspiracy  conspiration
(republic)  (république)
casualty  victime
whale  baleine
functional  fonctionnel
execution  exécution
terrific  terrifiant
teammate  coéquipier
instinct  instinct
whoever  quiconque
aluminum  aluminium
ministry  ministère
instruct  instruire
self-esteem  amour propre
skull  crâne
verdict  verdict
bee  abeille
manipulate  manipuler
cooperative  coopérative
loop  boucle
practitioner  praticien
subsidy  subvention
edit  éditer
whip  fouet
puzzle  puzzle
mushroom  champignon
mathematics  mathématiques
(bush)  (buisson)
boil  ébullition
tragic  tragique
mechanic  mécanicien
earthquake  tremblement de terre
jar  pot
utilize  utiliser
underlying  sous-jacent
safely  sans encombre
pork  porc
creativity  la créativité
dessert  le dessert
sympathy  la sympathie
incredibly  incroyablement
fisherman  pêcheur
eleven  onze
isolation  isolation
sock  chaussette
sexy  sexy
entrepreneur  entrepreneur
(bureau)  (bureau)
syndrome  syndrome
workplace  lieu de travail
ambition  ambition
breeze  brise
touchdown  atterrissage
costly  cher
ambitious  ambitieux
presumably  probablement
influential  influent
translation  traduction
uncertain  incertain
statistical  statistique
metropolitan  métropolitain
dissolve  dissoudre
aesthetic  esthétique
gut  intestin
rolling  roulant
spell  épeler
booth  stand
insert  insérer
expected  attendu
helmet  casque
waist  taille
lion  lion
royal  royal
actively  activement
accomplishment  accomplissement
panic  panique
crush  écraser
cliff  falaise
minimal  minimal
cord  corde
cocaine  cocaïne
fortunately  heureusement
illusion  illusion
anonymous  anonyme
tolerate  tolérer
commissioner  le commissaire
appreciation  appréciation
flexibility  souplesse
instructional  pédagogique
casino  casino
scramble  brouiller
decorate  décorer
equivalent  équivalent
pulse  impulsion
fixed  fixé
experienced  expérimenté
diary  journal de bord
momentum  élan
donation  don
sibling  frère et sœur
irony  ironie
spoon  cuillère
alley  ruelle
interact  interagir
midst  milieu
soap  savon
cute  mignon
rival  rival
short-term  court terme
pin  épingler
punch  coup de poing
hockey  le hockey
passing  qui passe
persist  persister
supplier  le fournisseur
known  connu
icon  icône
elephant  l'éléphant
shed  hangar
franchise  la franchise
purse  bourse
foster  favoriser
liquid  liquide
legislature  corps législatif
consequently  en conséquence
correctly  correctement
mentally  mentalement
bicycle  vélo
encouraging  encourageant
cheat  tricher
filter  filtre
heal  guérir
fever  fièvre
rabbit  lapin
exploit  exploit
organism  organisme
coin  pièce de monnaie
accessible  accessible
sensation  sensation
partially  partiellement
upstairs  en haut
dried  séché
shove  pousser
charter  charte
backyard  arrière-cour
stove  poêle
alike  ressemblent
reminder  rappel
consent  consentement
comprise  comprendre
grandchild  petit enfant
placement  placement
dough  pâte
ecological  écologique
reportedly  aurait
surrounding  alentours
dam  endiguer
well-known  bien connu
outfit  équiper
unprecedented  sans précédent
columnist  journaliste
workout  entraînement
preliminary  préliminaire
patent  brevet
shy  timide
trash  déchets
gross  brut
pencil  crayon
disabled  désactivé
texture  texture
damn  zut
frontier  frontière
hormone  hormone
spray  vaporisateur
disclose  divulguer
banker  banquier
custody  garde
oak  chêne
interfere  interférer
eighth  huitième
notebook  carnet
beast  bête
outline  présenter
speculation  spéculation
uncover  dévoiler
attendance  présence
behalf  au nom de
innovative  innovant
installation  installation
shark  requin
mill  moulin
stimulate  stimuler
swimming  nager
tag  étiqueter
catalog  catalogue
outsider  outsider
fleet  flotte
stance  position
vertical  verticale
compel  contraindre
desperately  désespérément
someday  un jour
sensitivity  sensibilité
instant  instant
proclaim  proclamer
debut  début
hike  relever
worldwide  à l'échelle mondiale
trainer  entraîneur
confrontation  affrontement
scent  flairer
colorful  coloré
required  obligatoire
(constitution)  (constitution)
thanksgiving  action de grâces
eyebrow  sourcil
stack  empiler
sack  sac
organizational  organisationnel
tray  plateau
cease  cesser
inherit  hériter
pioneer  pionnier
textbook  cahier de texte
shrink  rétrécir
nasty  méchant
emerging  émergent
uh  euh
wheat  blé
dot  point
rational  rationnel
fierce  féroce
envision  envisager
aisle  rayon
protocol  protocole
weaken  affaiblir
kingdom  royaume
vocal  vocal
exclusively  exclusivement
marketplace  marché
openly  ouvertement
terrain  terrain
unfair  injuste
risky  risqué
deploy  déployer
genre  genre
pasta  pâtes
distract  distraire
depressed  déprimé
planner  planificateur
merit  mérite
chunk  tronçon
closest  le plus proche
discount  remise
ladder  échelle
jungle  jungle
breathing  respiration
migration  migration
invade  envahir
retailer  détaillant
hurricane  ouragan
density  densité
coup  coup
classify  classer
curiosity  curiosité
skip  sauter
ambassador  ambassadeur
aggression  agression
supportive  favorable
robot  robot
journalism  journalisme
stimulus  stimulus
persian  persan
ecosystem  écosystème
informal  informel
likewise  également
feather  la plume
dip  tremper
sphere  sphère
boast  se vanter
sole  unique
tighten  serrer
perceived  perçu
pat  tapoter
publicity  publicité
unfold  se dérouler
well-being  bien-être
validity  validité
strictly  strictement
weed  herbe
partial  partiel
compliance  conformité
collar  collier
builder  constructeur
added  ajoutée
supposedly  soi-disant
streak  traînée
specialty  spécialité
deem  considérer
glimpse  aperçu
premise  prémisse
sneak  se faufiler
monkey  singe
artifact  artefact
listener  auditeur
mentor  mentor
two-thirds  les deux tiers
lightning  foudre
legally  légalement
excessive  excessif
disturb  déranger
disappointment  déception
sleeve  manche
rib  nervure
logical  logique
parish  paroisse
debris  débris
high-tech  technologie de pointe
socially  socialement
slavery  esclavage
rod  tige
ash  cendre
blank  vide
cure  guérir
faster  plus rapide
commodity  marchandise
dying  en train de mourir
mineral  minéral
hunger  faim
spare  de rechange
halfway  à mi-chemin
developmental  du développement
cemetery  cimetière
equality  égalité
harassment  harcèlement
deliberately  délibérément
fame  notoriété
striking  frappant
regret  le regret
likelihood  probabilité
carrot  carotte
wheelchair  fauteuil roulant
toll  sonner
atop  un haut
embarrassed  embarrassé
rim  jante
suspicious  méfiant
isolated  isolé
cling  se cramponner
squad  équipe
blink  clignoter
eligible  éligible
plunge  plonger
processor  processeur
demographic  démographique
refuge  refuge
chill  froideur
rally  se rallier
legislator  législateur
cheer  applaudir
programming  programmation
steer  diriger
outlet  sortie
vendor  vendeur
intact  intact
peanut  cacahuète
thrive  prospérer
fucking  putain de
elaborate  élaborer
chew  mâcher
auction  enchères
steak  bifteck
shareholder  actionnaire
conception  conception
comply  se conformer
triumph  triomphe
comparable  comparable
transport  transport
conscience  conscience
calculation  calcul
constraint  contrainte
scratch  rayure
considerably  considérablement
interval  intervalle
awake  éveillé
feminist  féministe
inevitably  inévitablement
emotionally  émotionnellement
jurisdiction  juridiction
expedition  expédition
similarity  similarité
allegedly  prétendument
butt  bout
lid  couvercle
dumb  idiot
bulk  masse
philosophical  philosophique
mortality  mortalité
sprinkle  saupoudrer
conversion  conversion
patron  mécène
municipal  municipal
liver  foie
harmony  harmonie
tolerance  tolérance
solely  uniquement
blessing  bénédiction
goat  chèvre
banana  banane
palace  palais
grandparent  grand-parent
peasant  paysan
cruise  croisière
supermarket  supermarché
neat  soigné
formerly  auparavant
lawmaker  législateur
mobile  mobile
calendar  calendrier
beard  barbe
widow  veuve
deposit  verser
brake  frein
screening  dépistage
impulse  impulsion
brutal  brutal
forbid  interdire
predator  prédateur
fur  fourrure
voluntary  volontaire
poke  poussée
valid  valide
opt  opter
forum  forum
soar  monter
happily  heureusement
dancing  dansant
enact  promulguer
removal  suppression
autonomy  autonomie
thread  fil
landmark  point de repère
unhappy  malheureux
privately  en privé
fraction  fraction
coming  à venir
tourism  tourisme
offender  délinquant
distinctive  distinctif
threshold  au seuil
suite  suite
routinely  régulièrement
regulator  régulateur
straw  paille
theological  théologique
fragile  fragile
exhaust  échappement
globe  globe
chemistry  chimie
objection  objection
old-fashioned  démodé
crowded  encombré
blast  détruire
prevail  prévaloir
overnight  pendant la nuit
denial  le déni
fragment  fragment
headache  mal de tête
rental  de location
fantastic  fantastique
warmth  chaleur
screw  visser
undergraduate  premier cycle
policeman  policier
projection  projection
suitable  qui convient
graduation  l'obtention du diplôme
drill  percer
mansion  manoir
cruel  cruel
sexuality  sexualité
grape  grain de raisin
cottage  chalet
authorize  autoriser
charm  charme
driveway  allée
loyal  fidèle
clay  argile
invention  invention
balloon  ballon
ego  ego
fare  tarif
availability  disponibilité
homework  devoirs
disc  disque
radar  radar
sofa  sofa
regain  reconquérir
frown  froncer les sourcils
molecule  molécule
retreat  battre en retraite
sweater  chandail
favorable  favorable
rubber  caoutchouc
freely  librement
rehabilitation  réhabilitation
steadily  régulièrement
youngster  enfant
ha  ha
accountability  responsabilité
integrated  intégré
premium  prime
contemplate  contempler
one-third  un tiers
update  mettre à jour
overwhelm  submerger
spark  étincelle
fatigue  fatigue
ironically  ironiquement
speculate  spéculer
marker  marqueur
bucket  seau
meantime  entre temps
preach  prêcher
substantially  substantiellement
blond  blond
confession  confession
marble  marbre
defender  défenseur
provoke  provoquer
trauma  traumatisme
surveillance  surveillance
explicit  explicite
disturbing  inquiétant
depart  partir
magnetic  magnétique
technician  technicien
arrow  la flèche
neighboring  voisin
devastating  dévastateur
soak  tremper
middle-class  classe moyenne
transmit  transmettre
mutter  murmurer
ribbon  ruban
harvest  récolte
slot  fente
consecutive  consécutif
spy  espionner
coordinate  coordonner
riot  émeute
nutrient  nutritif
severely  gravement
citizenship  citoyenneté
sovereignty  la souveraineté
ridge  crête
brave  braver
lighting  éclairage
frustrate  frustrer
contributor  donateur
importantly  surtout
transit  transit
specify  spécifier
seminar  séminaire
electronics  électronique
dense  dense
articulate  articuler
sunny  ensoleillé
swell  gonfler
shorts  shorts
soften  adoucir
accusation  accusation
bride  la mariée
terribly  terriblement
cue  signal
biography  biographie
hazard  risquer
straighten  redresser
seldom  rarement
compelling  convaincant
tile  tuile
honestly  honnêtement
troubled  troublé
economically  économiquement
vague  vague
zero  zéro
foreigner  étranger
balanced  équilibré
twentieth  vingtième
delight  plaisir
convenience  commodité
weave  tisser
plea  plaidoyer
sustainable  durable
timber  charpente
till  jusqu'à
accurately  avec précision
bolt  verrouiller
bulb  ampoule
flying  en volant
skilled  qualifié
spine  la colonne vertébrale
cargo  cargaison
managing  gérant
devil  diable
seller  vendeur
organized  organisé
missionary  missionnaire
dock  dock
fog  brouillard
sometime  un jour
boring  ennuyeux
marine  marin
summary  sommaire
diplomat  diplomate
epidemic  épidémie
trim  garniture
fatal  fatal
warehouse  dépot
butterfly  papillon
inherent  inhérent
accelerate  accélérer
bronze  bronze
drown  noyer
nationwide  à l'échelle nationale
vacuum  vide
selected  choisi
spit  cracher
dictate  dicter
sensor  capteur
stereotype  stéréotype
manual  manuel
kneel  s'agenouiller
plaintiff  demandeur
laundry  lessive
naval  naval
pistol  pistolet
apology  excuses
bore  ennuyer
beloved  bien-aimé
entertain  divertir
website  site internet
chopped  haché
retrieve  récupérer
tribute  hommage
bomber  bombardier
overseas  à l'étranger
smoking  fumeur
bizarre  bizarre
nominate  désigner
devise  concevoir
anchor  ancre
bargain  négocier
skeptical  sceptique
scrutiny  examen minutieux
suppress  réprimer
considering  considérant
brass  laiton
unfortunate  malheureux
(hunt)  (chasser)
extract  extrait
intensive  intensif
betray  trahir
consistency  cohérence
bureaucracy  bureaucratie
(videotape)  (cassette vidéo)
interactive  interactif
clever  astucieux
developed  développé
loser  perdant
challenging  difficile
critique  la critique
(march)  (mars)
skiing  ski
aboard  une planche
delicious  délicieuse
compassion  la compassion
reproduce  reproduire
congregation  congrégation
beneficial  bénéfique
awkward  maladroit
worm  ver de terre
iranian  iranien
complication  complication
marijuana  marijuana
legendary  légendaire
militia  milice
composer  compositeur
authentic  authentique
concession  concession
restoration  restauration
rejection  rejet
tenure  mandat
dome  dôme
inadequate  inadéquat
thief  voleur
editorial  éditorial
locker  casier
autumn  automne
subsequently  ensuite
merger  fusionnement
faithful  fidèle
haunt  hanter
crude  brut
sheriff  shérif
evoke  évoquer
completion  achèvement
pal  copain
trader  commerçant
affirmative  affirmative
vein  veine
surrender  abandon
scar  cicatrice
variance  variance
surge  monter
sailor  marin
inspect  inspecter
commentary  commentaire
follower  disciple
suspension  suspension
imperial  impérial
compensate  compenser
(caller)  (votre interlocuteur)
ranking  classement
fuck  merde
hover  flotter
making  fabrication
fossil  fossile
stunning  superbe
trout  truite
inappropriate  inapproprié
cowboy  cow-boy
viable  viable
clarify  clarifier
sketch  esquisser
countless  innombrable
copper  le cuivre
chat  discuter
upcoming  a venir
pupil  élève
ninth  neuvième
lyrics  paroles
strive  aspirer
neglect  négligence
gambling  jeux d'argent
ward  quartier
warfare  guerre
mound  monticule
bang  claquer
tilt  inclinaison
rob  rob
reasonably  raisonnablement
medieval  médiéval
advocacy  plaidoyer
biologist  biologiste
monetary  monétaire
learner  apprenant
knot  nouer
antibiotic  antibiotique
prosperity  la prospérité
accumulate  accumuler
dragon  dragon
creator  créateur
electoral  électoral
prosecute  poursuivre
(ray)  (rayon)
intervene  intervenir
glow  lueur
embody  incarner
dull  terne
rug  tapis
raid  raid
crown  couronne
fake  faux
creep  ramper
crab  crabe
satisfied  satisfait
worthy  digne
(illustration)  (illustration)
hydrogen  hydrogène
probability  probabilité
farming  agriculture
vinegar  le vinaigre
capitalism  capitalisme
advisory  consultatif
organizer  organisateur
remedy  remède
inability  incapacité
smash  briser
manuscript  manuscrit
morality  moralité
hopeful  optimiste
disagreement  désaccord
fancy  fantaisie
mandatory  obligatoire
purely  purement
dive  plonger
advertise  afficher
soda  un soda
bass  basse
lesser  moindre
shiny  brillant
memo  note
junk  camelote
stun  étourdir
devoted  dévoué
mature  mature
manufacture  fabrication
poorly  pauvrement
affection  affection
warming  échauffement
stamp  timbre
philosopher  philosophe
colored  coloré
clutch  embrayage
silently  silencieusement
breakdown  panne
conceal  cacher
monitoring  surveillance
curl  boucle
kidney  un rein
nineteenth  xixe
goodness  bonté
healing  guérison
remarkably  remarquablement
literacy  l'alphabétisation
taxi  taxi
destiny  destin
geography  géographie
solo  solo
leak  fuir
greenhouse  serre
trillion  mille milliards
loving  aimant
parliament  parlement
expenditure  dépense
homicide  homicide
australian  australien
herd  troupeau
passionate  passionné
biblical  biblique
addiction  dépendance
probe  sonde
psychiatrist  psychiatre
pipeline  pipeline
hood  capuche
atom  atome
baking  pâtisserie
positively  positivement
snack  collation
ending  fin
charming  charmant
migrant  migrants
competence  compétence
supplement  supplément
ink  encrer
distress  détresse
homeowner  propriétaire
adaptation  adaptation
imagery  imagerie
(memorial)  (mémorial)
pledge  engagement
infect  infecter
paradigm  paradigme
backward  en arrière
appetite  appétit
hierarchy  hiérarchie
offend  offenser
reconstruction  reconstruction
sympathetic  sympathique
hostility  hostilité
condom  préservatif
temporarily  temporairement
spectator  spectateur
litigation  litige
comet  comète
bleed  saigner
cocktail  cocktail
explicitly  explicitement
choke  étranglement
ensemble  ensemble
(saint)  (saint)
part-time  à temps partiel
pesticide  pesticide
twenty-five  vingt cinq
pea  pois
delegate  déléguer
preservation  préservation
rotation  rotation
cautious  prudent
tremble  trembler
affordable  abordable
prejudice  préjudice
certificate  certificat
designate  désigner
robe  peignoir
abruptly  brusquement
mercy  pitié
cult  culte
classmate  camarade de classe
nursing  allaitement
motel  motel
hatred  haine
diameter  diamètre
enlist  enrôler
acute  aigu
predecessor  prédécesseur
induce  induire
rookie  débutant
disclosure  divulgation
juvenile  juvénile
gown  robe
notably  notamment
correlate  corrélatif
halt  arrêt
persistent  persistant
humanitarian  humanitaire
torture  torture
exile  exilé
chorus  refrain
roar  rugir
architectural  architectural
comic  bande dessinée
revive  relancer
fountain  fontaine
revenge  vengeance
sour  acide
unclear  pas clair
endangered  en voie de disparition
reside  résider
empirical  empirique
caution  mise en garde
originate  provenir
lure  leurre
compile  compiler
nationally  nationalement
erupt  éclater
loom  métier à tisser
notable  notable
witch  sorcière
endorsement  approbation
(anything)  (rien)
dusty  poussiéreux
cane  canne
fortunate  chanceux
rap  rap
(commerce)  (commerce)
forge  la forge
surgical  chirurgical
aging  vieillissement
disrupt  perturber
breakthrough  percée
established  établi
specialized  spécialisé
odor  odeur
slim  svelte
desirable  souhaitable
remains  restes
lobbyist  lobbyiste
alert  alerte
allege  alléguer
countryside  campagne
hut  cabane
attain  atteindre
sixteen  seize
holding  en portant
dinosaur  dinosaure
excite  exciter
urgent  urgent
choir  chorale
pronounce  prononcer
banner  bannière
insider  initié
rising  en hausse
confine  confiner
assertion  affirmation
orthodox  orthodoxe
underground  sous la terre
outbreak  épidémie
strand  brin
payroll  paie
freshly  fraîchement
orchestra  orchestre
grim  sombre
winning  gagnant
bead  perle
profitable  rentable
drought  la sécheresse
uphold  défendre
commentator  commentateur
hazardous  dangereux
confirmation  confirmation
believer  croyant
wireless  sans fil
proceedings  procédure
merge  fusionner
shaft  arbre
theft  vol
convenient  pratique
accommodation  hébergement
frog  grenouille
grind  moudre
elected  élu
vanilla  vanille
prescribe  prescrire
wounded  blessés
lone  seul
registration  enregistrement
shotgun  fusil à pompe
courtesy  courtoisie
graphic  graphique
subway  métro
circulation  circulation
transplant  une greffe
explosive  explosif
illuminate  éclairer
venue  lieu
congressman  membre du congrès
nazi  nazi
penetrate  pénétrer
evolutionary  évolutionniste
canal  canal
grill  gril
unnecessary  inutile
innocence  innocence
parameter  paramètre
flaw  défaut
champagne  champagne
optimism  optimisme
skinny  maigre
regression  régression
posture  posture
demon  démon
systematic  systématique
inclusion  inclusion
reassure  rassurer
resulting  résultant
rehearsal  répétition
invoke  invoquer
correspond  correspondre
discard  jeter
revival  la relance
tub  baignoire
restraint  retenue
prospective  éventuel
theirs  les leurs
murderer  meurtrier
tin  étain
abundance  abondance
duration  durée
despair  désespoir
proposition  proposition
lime  chaux
attendant  préposé
fulfill  remplir
ethnicity  appartenance ethnique
successor  successeur
assassination  assassinat
handling  manutention
geographic  géographique
strawberry  fraise
atomic  atomique
crying  pleurs
holder  titulaire
portable  portable
guerrilla  guérilla
clarity  clarté
environmentalist  écologiste
verse  verset
moisture  humidité
trophy  trophée
parenting  parentalité
ironic  ironique
contradiction  contradiction
(canyon)  (canyon)
co-worker  collaborateur
rattle  hochet
shatter  briser
descent  descente
startle  surprendre
widen  élargir
gorgeous  magnifique
tease  taquiner
(prince)  (prince)
waiter  serveur
gospel  gospel
separately  séparément
vow  vœu
semester  semestre
precision  précision
downstairs  en bas
cutting  coupe
rigid  rigide
jam  confiture
hometown  ville natale
tumble  chute
financially  financièrement
statistically  statistiquement
backup  sauvegarde
detector  détecteur
psychiatric  psychiatrique
grid  la grille
eighteen  dix-huit
rotate  tourner
recount  raconter
spotlight  projecteur
settler  colon
polite  poli
magnificent  magnifique
scrape  rayer
contrary  contraire
superintendent  surveillant général
optical  optique
fourteen  quatorze
ambulance  ambulance
prey  proie
audit  audit
bump  cogner
peculiar  particulier
sadness  tristesse
supporting  justificatif
enthusiastic  enthousiaste
continually  continuellement
firefighter  sapeur pompier
applicant  demandeur
supper  souper
egyptian  égyptien
absent  absent
injured  blessé
modem  modem
salvation  salut
conceptual  conceptuel
modification  modification
namely  à savoir
visa  visa
renew  renouveler
overhead  aérien
goose  oie
fireplace  cheminée
peach  pêche
summarize  résumer
nurture  nourrir
caribbean  caraïbes
frighten  effrayer
formally  officiellement
vivid  vif
frightening  effrayant
keyboard  clavier
poison  poison
tenant  locataire
furious  furieux
undoubtedly  indubitablement
repeated  répété
rocky  rocheux
omit  omettre
(daddy)  (papa)
ruler  règle
noble  noble
spider  araignée
turkish  turc
obsession  obsession
corpse  corps
certainty  certitude
problematic  problématique
damp  humide
nutrition  nutrition
(unidentified)  (non identifié)
vocabulary  vocabulaire
melody  mélodie
electron  électron
distinguished  distingué
physicist  physicien
wool  la laine
utterly  tout à fait
maple  érable
memoir  mémoire
salesman  vendeur
cultivate  cultiver
luxury  luxe
microphone  microphone
goodbye  au revoir
realization  la concrétisation
disposal  disposition
meadow  prairie
cherry  cerise
defy  defier
magical  magique
plug  brancher
wallet  portefeuille
mining  exploitation minière
accordingly  par conséquent
lamb  agneau
socialist  socialiste
tempt  tenter
fundamentally  fondamentalement
scrap  abandonner
declaration  déclaration
(academy)  (académie)
wildly  sauvagement
inject  injecter
axis  axe
applause  applaudissements
(narrator)  (narrateur)
suitcase  valise
evenly  uniformément
dual  double
supervise  superviser
precede  précéder
triangle  triangle
shield  bouclier
aspiration  aspiration
financing  financement
inclined  incliné
newcomer  nouveau venu
fried  frit
substitute  remplacer
supervision  surveillance
calcium  calcium
quantum  quantum
con  con
picnic  pique-nique
gravel  gravier
textile  textile
visiting  visiter
precedent  précédent
nationalism  nationalisme
eternal  éternel
indictment  accusation
interpreter  interprète
planned  prévu
calf  veau
nursery  garderie
collision  collision
verify  vérifier
encompass  englober
(creek)  (ruisseau)
clan  clan
boxing  boxe
diplomacy  diplomatie
mat  tapis
spice  pimenter
faction  faction
sixty  soixante
skillet  poêlon
immense  immense
confused  confus
hop  sauter
thirteen  treize
bitch  chienne
ashamed  honteux
afterwards  ensuite
instrumental  instrumental
independently  indépendamment
aftermath  conséquences
(dean)  (doyen)
astronaut  astronaute
useless  inutile
reproduction  la reproduction
crust  croûte
gasp  haleter
altar  autel
flu  grippe
embarrassing  gênant
umbrella  parapluie
millennium  millénaire
mosquito  moustique
unconscious  inconscient
listing  référencement
intimacy  intimité
guardian  gardien
obey  obéit
divert  dérouter
(tech)  (technologie)
thoughtful  réfléchi
vine  vigne
permanently  en permanence
shocked  choqué
simulation  simulation
methodology  méthodologie
passive  passif
awaken  éveiller
outrage  outrage
monopoly  monopole
loudly  bruyamment
nun  religieuse
attachment  attachement
broth  bouillon
summon  convoquer
optional  optionnel
miner  mineur
aloud  à haute voix
dangle  pendre
cigar  cigare
delegation  délégation
breed  élever
haven  havre
mobility  mobilité
assurance  assurance
jerk  secousse
competing  en compétition
mob  foule
weep  pleurer
consultation  consultation
liquor  alcool
dioxide  dioxyde
accountable  redevable
affirm  affirmer
sip  siroter
sadly  tristement
span  envergure
emergence  émergence
lifelong  à vie
linger  s'attarder
applaud  applaudir
stabilize  stabiliser
cube  cube
harbor  port
swiss  suisse
fax  fax
underneath  sous
embassy  ambassade
preacher  prédicateur
dim  faible
injection  injection
facial  soin du visage
plantation  plantation
predictable  prévisible
sunset  coucher de soleil
presume  présumer
x-ray  radiographie
excess  excès
nearest  la plus proche
proponent  partisan
constituent  constituant
vietnamese  vietnamien
antique  antique
polish  polonais
dairy  laitier
gardener  jardinier
sweeping  balayage
saudi  saoudien
manipulation  manipulation
wit  esprit
skate  patin
fabulous  fabuleux
legitimacy  légitimité
intersection  intersection
curse  malédiction
resignation  démission
culturally  culturellement
reconciliation  réconciliation
deed  acte
impairment  déficience
miserable  misérable
closure  fermeture
machinery  machinerie
lively  animé
erase  effacer
terminal  terminal
shave  raser
coaching  encadrement
(institute)  (institut)
irrelevant  sans importance
foolish  insensé
armor  armure
frightened  effrayé
neatly  soigneusement
ignorance  ignorance
wetland  zone humide
skier  skieur
reverend  révérend
playground  terrain de jeux
embarrassment  embarras
amateur  amateur
cellular  cellulaire
competent  compétent
primitive  primitif
balcony  balcon
brow  front
mosque  mosquée
linear  linéaire
closing  fermeture
excellence  excellence
reasoning  raisonnement
recycle  recycler
par  par
worship  culte
harmful  nuisible
ant  fourmi
coincidence  coïncidence
resentment  rancœur
(ma'am)  (madame)
dependence  dépendance
feminine  féminin
justification  justification
tuition  frais de scolarité
destructive  destructeur
governmental  gouvernemental
repetition  répétition
niche  niche
inexpensive  peu coûteux
sleeping  dormant
courtyard  cour
re-election  réélection
dividend  dividende
terrify  terrifier
revise  réviser
bark  aboyer
fascinate  fasciner
stab  poignarder
generator  générateur
cafe  café
propaganda  la propagande
failed  échoué
parallel  parallèle
underscore  souligner
formulate  formuler
castle  château
prop  soutenir
microwave  four micro onde
incidence  incidence
technically  techniquement
fulfil  remplir
corrupt  corrompu
specimen  spécimen
thorough  approfondi
obscure  obscur
wan  blême
monk  moine
spectacle  spectacle
thrill  ravir
heroin  héroïne
outlook  perspectives
reproductive  reproducteur
bout  combat
laptop  portable
recreation  des loisirs
setup  mettre en place
spatial  spatial
sniff  renifler
varying  variant
cleanup  nettoyer
bored  ennuyait
matrix  matrice
printer  imprimante
runway  piste
cone  cône
locally  localement
uh-huh  euh-huh
stroll  flâner
nitrogen  azote
integral  intégral
respective  respectif
transparent  transparent
rebound  rebond
lineup  s'aligner
saying  en disant
circulate  circuler
forecast  prévision
classification  classification
endeavor  effort
easter  pâques
intriguing  intrigant
maximize  maximiser
advisor  conseiller
paragraph  paragraphe
breeding  reproduction
footage  images
preferred  préféré
absurd  absurde
thrust  plonger
fund-raising  collecte de fonds
allied  allié
temptation  tentation
reservoir  réservoir
strap  sangle
feast  le banquet
unfamiliar  inconnu
conductor  conducteur
analogy  analogie
inhabitant  habitant
toddler  bambin
determined  déterminé
logo  logo
intensify  intensifier
arc  arc
sway  se balancer
(maximum)  (maximum)
upgrade  améliorer
postwar  après la guerre
erosion  érosion
manifest  manifeste
sophomore  deuxième année
refusal  refus
recreational  récréatif
flush  affleurer
lick  lécher
educated  éduqué
align  aligner
unaware  ignorant
predominantly  principalement
mighty  puissant
idiot  idiot
courthouse  tribunal
defect  défaut
subjective  subjectif
additionally  aditionellement
accountant  comptable
sufficiently  suffisamment
vulnerability  vulnérabilité
valve  soupape
owl  hibou
fairness  justice
slash  sabrer
diner  le dîner
advertisement  publicité
finely  finement
(good-bye)  (au revoir)
petition  pétition
correspondence  correspondance
artery  artère
static  statique
curator  conservateur
correction  correction
mist  brume
grower  producteur
nonsense  absurdité
humble  humble
gum  gencive
baseline  ligne de base
fishery  pêcherie
thesis  thèse
audio  l'audio
dressing  pansement
coefficient  coefficient
cosmic  cosmique
qualified  qualifié
ponder  réflechir
complicate  compliquer
sanctuary  sanctuaire
prepared  préparé
denounce  dénoncer
beating  battement
stool  tabouret
