the  la
militia  milice
composer  compositeur
authentic  authentique
concession  concession
restoration  restauration
rejection  rejet
tenure  mandat
dome  dôme
inadequate  inadéquat
thief  voleur
editorial  éditorial
locker  casier
autumn  automne
subsequently  ensuite
merger  fusionnement
faithful  fidèle
haunt  hanter
crude  brut
sheriff  shérif
objective  objectif
evoke  évoquer
completion  achèvement
pal  copain
trader  commerçant
affirmative  affirmative
vein  veine
surrender  abandon
progress  le progrès
scar  cicatrice
variance  variance
stroke  accident vasculaire cérébral
surge  monter
sailor  marin
inspect  inspecter
commentary  commentaire
follower  disciple
suspension  suspension
imperial  impérial
classic  classique
compensate  compenser
(caller)  (votre interlocuteur)
ranking  classement
center  centre
fuck  merde
hover  flotter
making  fabrication
fossil  fossile
voice  voix
stunning  superbe
trout  truite
inappropriate  inapproprié
cowboy  cow-boy
viable  viable
clarify  clarifier
sketch  esquisser
countless  innombrable
copper  le cuivre
good  bien
chat  discuter
upcoming  a venir
pupil  élève
combat  combat
ninth  neuvième
foster  favoriser
lyrics  paroles
strive  aspirer
neglect  négligence
gambling  jeux d'argent
ward  quartier
warfare  guerre
mound  monticule
commercial  commercial
bang  claquer
tilt  inclinaison
rob  rob
reasonably  raisonnablement
medieval  médiéval
advocacy  plaidoyer
biologist  biologiste
bad  mal
monetary  monétaire
learner  apprenant
knot  nouer
antibiotic  antibiotique
spray  vaporisateur
prosperity  la prospérité
accumulate  accumuler
joint  découper
dragon  dragon
creator  créateur
time  temps
electoral  électoral
prosecute  poursuivre
(ray)  (rayon)
punch  coup de poing
intervene  intervenir
glow  lueur
embody  incarner
dull  terne
rug  tapis
raid  raid
crown  couronne
fake  faux
creep  ramper
crab  crabe
satisfied  satisfait
worthy  digne
(illustration)  (illustration)
hydrogen  hydrogène
probability  probabilité
farming  agriculture
vinegar  le vinaigre
capitalism  capitalisme
advisory  consultatif
organizer  organisateur
bar  bar
remedy  remède
inability  incapacité
smash  briser
manuscript  manuscrit
morality  moralité
hopeful  optimiste
disagreement  désaccord
fancy  fantaisie
mandatory  obligatoire
purely  purement
dive  plonger
iraqi  irakien
pick  prendre
advertise  afficher
soda  un soda
bass  basse
lesser  moindre
shiny  brillant
memo  note
junk  camelote
stun  étourdir
devoted  dévoué
mature  mature
manufacture  fabrication
board  planche
poorly  pauvrement
affection  affection
warming  échauffement
stamp  timbre
between  compris entre
philosopher  philosophe
colored  coloré
fool  tromper
retreat  battre en retraite
clutch  embrayage
silently  silencieusement
breakdown  panne
conceal  cacher
experiment  expérience
monitoring  surveillance
curl  boucle
kidney  un rein
nineteenth  xixe
spin  tourner
goodness  bonté
alien  extraterrestre
healing  guérison
remarkably  remarquablement
literacy  l'alphabétisation
narrative  récit
taxi  taxi
destiny  destin
geography  géographie
solo  solo
leak  fuir
greenhouse  serre
trillion  mille milliards
loving  aimant
parliament  parlement
expenditure  dépense
homicide  homicide
australian  australien
outline  présenter
herd  troupeau
passionate  passionné
biblical  biblique
addiction  dépendance
probe  sonde
fuel  carburant
psychiatrist  psychiatre
pipeline  pipeline
hood  capuche
ruin  se ruiner
atom  atome
baking  pâtisserie
positively  positivement
snack  collation
ending  fin
charming  charmant
migrant  migrants
competence  compétence
supplement  supplément
ink  encrer
distress  détresse
homeowner  propriétaire
adaptation  adaptation
imagery  imagerie
(memorial)  (mémorial)
pledge  engagement
large  grande
infect  infecter
paradigm  paradigme
double  double
hike  relever
backward  en arrière
appetite  appétit
hierarchy  hiérarchie
offend  offenser
reconstruction  reconstruction
sympathetic  sympathique
left  la gauche
hostility  hostilité
condom  préservatif
temporarily  temporairement
master  maître
spectator  spectateur
litigation  litige
comet  comète
bleed  saigner
anger  colère
cocktail  cocktail
kick  donner un coup
explicitly  explicitement
choke  étranglement
ensemble  ensemble
(saint)  (saint)
part-time  à temps partiel
pesticide  pesticide
twenty-five  vingt cinq
pea  pois
delegate  déléguer
adolescent  adolescent
preservation  préservation
rotation  rotation
cautious  prudent
trigger  gâchette
tremble  trembler
affordable  abordable
prejudice  préjudice
italian  italien
certificate  certificat
venture  entreprise
price  le prix
designate  désigner
robe  peignoir
scream  crier
abruptly  brusquement
mercy  pitié
cult  culte
nod  hocher la tête
classmate  camarade de classe
pin  épingler
hurt  faire mal
nursing  allaitement
motel  motel
hatred  haine
diameter  diamètre
enlist  enrôler
acute  aigu
predecessor  prédécesseur
induce  induire
blast  détruire
rookie  débutant
disclosure  divulgation
juvenile  juvénile
gown  robe
fan  ventilateur
open  ouvrir
notably  notamment
correlate  corrélatif
halt  arrêt
usual  habituel
persistent  persistant
humanitarian  humanitaire
update  mettre à jour
torture  torture
exile  exilé
chorus  refrain
roar  rugir
architectural  architectural
comic  bande dessinée
revive  relancer
fountain  fontaine
revenge  vengeance
sour  acide
unclear  pas clair
endangered  en voie de disparition
reside  résider
empirical  empirique
caution  mise en garde
originate  provenir
lure  leurre
compile  compiler
nationally  nationalement
erupt  éclater
loom  métier à tisser
notable  notable
witch  sorcière
glow  lueur
endorsement  approbation
(anything)  (rien)
trip  voyage
dusty  poussiéreux
cane  canne
fortunate  chanceux
least  moins
export  exportation
rap  rap
(commerce)  (commerce)
forge  la forge
surgical  chirurgical
aging  vieillissement
disrupt  perturber
breakthrough  percée
established  établi
specialized  spécialisé
odor  odeur
slim  svelte
desirable  souhaitable
grip  saisir
remains  restes
rear  arrière
lobbyist  lobbyiste
alert  alerte
allege  alléguer
countryside  campagne
hut  cabane
couple  coupler
attain  atteindre
sixteen  seize
holding  en portant
dinosaur  dinosaure
title  titre
excite  exciter
comfort  confort
urgent  urgent
choir  chorale
pronounce  prononcer
banner  bannière
insider  initié
burst  éclater
rising  en hausse
confine  confiner
reform  réforme
assertion  affirmation
orthodox  orthodoxe
underground  sous la terre
register  s'inscrire
outbreak  épidémie
strand  brin
payroll  paie
freshly  fraîchement
orchestra  orchestre
grim  sombre
winning  gagnant
novel  roman
bead  perle
profitable  rentable
drought  la sécheresse
uphold  défendre
commentator  commentateur
leap  saut
blame  faire des reproches
hazardous  dangereux
tape  ruban
confirmation  confirmation
sweat  sueur
believer  croyant
wireless  sans fil
proceedings  procédure
merge  fusionner
shaft  arbre
theft  vol
convenient  pratique
accommodation  hébergement
frog  grenouille
guess  deviner
grind  moudre
elected  élu
vanilla  vanille
prescribe  prescrire
wounded  blessés
lone  seul
registration  enregistrement
shotgun  fusil à pompe
courtesy  courtoisie
graphic  graphique
zero  zéro
subway  métro
circulation  circulation
sentence  phrase
transplant  une greffe
explosive  explosif
illuminate  éclairer
venue  lieu
congressman  membre du congrès
nazi  nazi
penetrate  pénétrer
evolutionary  évolutionniste
canal  canal
grill  gril
unnecessary  inutile
innocence  innocence
parameter  paramètre
flaw  défaut
champagne  champagne
optimism  optimisme
skinny  maigre
regression  régression
attribute  attribut
native  originaire de
posture  posture
demon  démon
systematic  systématique
inclusion  inclusion
great  génial
reassure  rassurer
resulting  résultant
rehearsal  répétition
invoke  invoquer
correspond  correspondre
discard  jeter
revival  la relance
tub  baignoire
restraint  retenue
prospective  éventuel
theirs  les leurs
inside  à l'intérieur
murderer  meurtrier
tin  étain
abundance  abondance
duration  durée
despair  désespoir
proposition  proposition
lime  chaux
attendant  préposé
fulfill  remplir
ethnicity  appartenance ethnique
successor  successeur
assassination  assassinat
handling  manutention
geographic  géographique
strawberry  fraise
atomic  atomique
crying  pleurs
holder  titulaire
portable  portable
guerrilla  guérilla
clarity  clarté
environmentalist  écologiste
rally  se rallier
verse  verset
moisture  humidité
trophy  trophée
parenting  parentalité
ironic  ironique
contradiction  contradiction
(canyon)  (canyon)
co-worker  collaborateur
rattle  hochet
shatter  briser
descent  descente
startle  surprendre
widen  élargir
gorgeous  magnifique
tease  taquiner
import  importer
(prince)  (prince)
waiter  serveur
gospel  gospel
subject  matière
separately  séparément
vow  vœu
semester  semestre
precision  précision
downstairs  en bas
cutting  coupe
rigid  rigide
jam  confiture
hometown  ville natale
tumble  chute
reply  réponse
financially  financièrement
statistically  statistiquement
backup  sauvegarde
detector  détecteur
psychiatric  psychiatrique
grid  la grille
eighteen  dix-huit
tax  impôt
mistake  erreur
rotate  tourner
recount  raconter
ski  ski
reason  raison
spotlight  projecteur
push  pousser
settler  colon
narrow  étroit
lean  mince
polite  poli
magnificent  magnifique
scrape  rayer
contrary  contraire
superintendent  surveillant général
optical  optique
fourteen  quatorze
long  long
ambulance  ambulance
dead  mort
prey  proie
audit  audit
bump  cogner
peculiar  particulier
sadness  tristesse
supporting  justificatif
enthusiastic  enthousiaste
editorial  éditorial
continually  continuellement
firefighter  sapeur pompier
applicant  demandeur
sample  goûter
supper  souper
egyptian  égyptien
absent  absent
injured  blessé
modem  modem
salvation  salut
highlight  surligner
equivalent  équivalent
conceptual  conceptuel
modification  modification
namely  à savoir
visa  visa
renew  renouveler
overhead  aérien
try  essayer
goose  oie
fireplace  cheminée
peach  pêche
summarize  résumer
nurture  nourrir
lobby  hall
caribbean  caraïbes
reserve  réserve
frighten  effrayer
formally  officiellement
vivid  vif
frightening  effrayant
keyboard  clavier
poison  poison
tenant  locataire
furious  furieux
undoubtedly  indubitablement
repeated  répété
total  total
concrete  béton
rocky  rocheux
omit  omettre
grade  noter
(daddy)  (papa)
ruler  règle
noble  noble
amount  montant
spider  araignée
round  rond
turkish  turc
obsession  obsession
corpse  corps
certainty  certitude
problematic  problématique
damp  humide
nutrition  nutrition
(unidentified)  (non identifié)
vocabulary  vocabulaire
melody  mélodie
electron  électron
distinguished  distingué
physicist  physicien
wool  la laine
utterly  tout à fait
maple  érable
memoir  mémoire
salesman  vendeur
cultivate  cultiver
luxury  luxe
damn  zut
microphone  microphone
goodbye  au revoir
realization  la concrétisation
disposal  disposition
meadow  prairie
cherry  cerise
defy  defier
magical  magique
stack  empiler
plug  brancher
wallet  portefeuille
mining  exploitation minière
accordingly  par conséquent
lamb  agneau
socialist  socialiste
tempt  tenter
fundamentally  fondamentalement
scrap  abandonner
declaration  déclaration
(academy)  (académie)
wildly  sauvagement
inject  injecter
axis  axe
applause  applaudissements
(narrator)  (narrateur)
suitcase  valise
evenly  uniformément
dual  double
supervise  superviser
precede  précéder
triangle  triangle
shield  bouclier
aspiration  aspiration
financing  financement
inclined  incliné
newcomer  nouveau venu
nursing  allaitement
fried  frit
substitute  remplacer
supervision  surveillance
calcium  calcium
quantum  quantum
con  con
bump  cogner
picnic  pique-nique
gravel  gravier
textile  textile
visiting  visiter
contrary  contraire
precedent  précédent
nationalism  nationalisme
eternal  éternel
indictment  accusation
interpreter  interprète
planned  prévu
current  courant
calf  veau
nursery  garderie
collision  collision
verify  vérifier
encompass  englober
(creek)  (ruisseau)
clan  clan
boxing  boxe
diplomacy  diplomatie
mat  tapis
spice  pimenter
faction  faction
sixty  soixante
skillet  poêlon
alert  alerte
immense  immense
confused  confus
hop  sauter
select  sélectionner
thirteen  treize
bitch  chienne
ashamed  honteux
african-american  afro-américain
afterwards  ensuite
instrumental  instrumental
independently  indépendamment
aftermath  conséquences
(dean)  (doyen)
astronaut  astronaute
useless  inutile
reproduction  la reproduction
crust  croûte
gasp  haleter
altar  autel
flu  grippe
embarrassing  gênant
umbrella  parapluie
burn  brûler
millennium  millénaire
mosquito  moustique
unconscious  inconscient
listing  référencement
intimacy  intimité
guardian  gardien
obey  obéit
divert  dérouter
(tech)  (technologie)
thoughtful  réfléchi
vine  vigne
permanently  en permanence
shocked  choqué
simulation  simulation
methodology  méthodologie
passive  passif
awaken  éveiller
mess  désordre
jail  geôle
outrage  outrage
level  niveau
monopoly  monopole
loudly  bruyamment
nun  religieuse
attachment  attachement
broth  bouillon
summon  convoquer
optional  optionnel
miner  mineur
aloud  à haute voix
dangle  pendre
cigar  cigare
delegation  délégation
breed  élever
haven  havre
stage  étape
mobility  mobilité
assurance  assurance
jerk  secousse
spark  étincelle
chop  hacher
competing  en compétition
mob  foule
spare  de rechange
weep  pleurer
consultation  consultation
liquor  alcool
dioxide  dioxyde
accountable  redevable
affirm  affirmer
pace  rythme
sip  siroter
sadly  tristement
span  envergure
emergence  émergence
lifelong  à vie
linger  s'attarder
applaud  applaudir
stabilize  stabiliser
fold  plier
cube  cube
harbor  port
swiss  suisse
calm  calmer
fax  fax
underneath  sous
embassy  ambassade
preacher  prédicateur
dim  faible
injection  injection
facial  soin du visage
plantation  plantation
clear  dégager
predictable  prévisible
sunset  coucher de soleil
presume  présumer
x-ray  radiographie
excess  excès
empty  vide
nearest  la plus proche
proponent  partisan
echo  écho
constituent  constituant
vietnamese  vietnamien
antique  antique
polish  polonais
dairy  laitier
gardener  jardinier
sweeping  balayage
saudi  saoudien
manipulation  manipulation
wit  esprit
skate  patin
fabulous  fabuleux
sum  somme
legitimacy  légitimité
intersection  intersection
curse  malédiction
resignation  démission
culturally  culturellement
cruise  croisière
reconciliation  réconciliation
deed  acte
whisper  chuchotement
impairment  déficience
miserable  misérable
film  film
sigh  soupir
half  demi
closure  fermeture
machinery  machinerie
lively  animé
erase  effacer
terminal  terminal
plot  parcelle
shave  raser
luxury  luxe
coaching  encadrement
(institute)  (institut)
irrelevant  sans importance
foolish  insensé
hate  détester
armor  armure
frightened  effrayé
smoking  fumeur
neatly  soigneusement
ignorance  ignorance
wetland  zone humide
skier  skieur
reverend  révérend
playground  terrain de jeux
embarrassment  embarras
amateur  amateur
cellular  cellulaire
competent  compétent
primitive  primitif
balcony  balcon
brow  front
mosque  mosquée
linear  linéaire
closing  fermeture
excellence  excellence
reasoning  raisonnement
recycle  recycler
par  par
worship  culte
harmful  nuisible
torture  torture
ant  fourmi
coincidence  coïncidence
resentment  rancœur
(ma'am)  (madame)
dependence  dépendance
feminine  féminin
justification  justification
tuition  frais de scolarité
destructive  destructeur
bid  offre d'achat
governmental  gouvernemental
repetition  répétition
niche  niche
inexpensive  peu coûteux
sleeping  dormant
courtyard  cour
wash  lavage
re-election  réélection
dividend  dividende
terrify  terrifier
revise  réviser
single  célibataire
bark  aboyer
like  aimer
graphic  graphique
fascinate  fasciner
stab  poignarder
generator  générateur
cafe  café
propaganda  la propagande
failed  échoué
parallel  parallèle
underscore  souligner
pledge  engagement
formulate  formuler
castle  château
prop  soutenir
microwave  four micro onde
incidence  incidence
technically  techniquement
fulfil  remplir
corrupt  corrompu
specimen  spécimen
thorough  approfondi
obscure  obscur
wan  blême
near  près
monk  moine
spectacle  spectacle
thrill  ravir
heroin  héroïne
above  au dessus
anchor  ancre
treat  traiter
outlook  perspectives
reproductive  reproducteur
bout  combat
laptop  portable
recreation  des loisirs
setup  mettre en place
spatial  spatial
sniff  renifler
varying  variant
cleanup  nettoyer
bored  ennuyait
matrix  matrice
printer  imprimante
filter  filtre
runway  piste
cone  cône
locally  localement
uh-huh  euh-huh
stroll  flâner
nitrogen  azote
integral  intégral
respective  respectif
transparent  transparent
rebound  rebond
lineup  s'aligner
saying  en disant
circulate  circuler
substitute  remplacer
forecast  prévision
classification  classification
endeavor  effort
easter  pâques
intriguing  intrigant
maximize  maximiser
advisor  conseiller
paragraph  paragraphe
breeding  reproduction
footage  images
preferred  préféré
absurd  absurde
urge  exhorter
jam  confiture
thrust  plonger
fund-raising  collecte de fonds
allied  allié
temptation  tentation
reservoir  réservoir
say  dire
strap  sangle
feast  le banquet
unfamiliar  inconnu
conductor  conducteur
analogy  analogie
inhabitant  habitant
drain  drainer
toddler  bambin
determined  déterminé
regret  le regret
mail  courrier
logo  logo
intensify  intensifier
leak  fuir
arc  arc
sway  se balancer
spell  épeler
(maximum)  (maximum)
slip  glisser
upgrade  améliorer
postwar  après la guerre
head  diriger
erosion  érosion
manifest  manifeste
sophomore  deuxième année
refusal  refus
recreational  récréatif
flush  affleurer
lick  lécher
license  licence
educated  éduqué
align  aligner
ruling  décision
unaware  ignorant
predominantly  principalement
mighty  puissant
idiot  idiot
courthouse  tribunal
defect  défaut
subjective  subjectif
additionally  aditionellement
accountant  comptable
sufficiently  suffisamment
vulnerability  vulnérabilité
valve  soupape
owl  hibou
fairness  justice
slash  sabrer
diner  le dîner
advertisement  publicité
finely  finement
(good-bye)  (au revoir)
petition  pétition
aside  de côté
correspondence  correspondance
artery  artère
static  statique
curator  conservateur
overall  globalement
correction  correction
mist  brume
grower  producteur
nonsense  absurdité
humble  humble
gum  gencive
baseline  ligne de base
fishery  pêcherie
thesis  thèse
audio  l'audio
dressing  pansement
coefficient  coefficient
cosmic  cosmique
thrill  ravir
contrast  contraste
qualified  qualifié
ponder  réflechir
complicate  compliquer
smooth  lisse
sanctuary  sanctuaire
prepared  préparé
denounce  dénoncer
beating  battement
stool  tabouret
lounge  salon
credible  crédible
uniform  uniforme
tuna  thon
revision  révision
recycling  recyclage
dear  cher
daylight  lumière du jour
simmer  mijoter
warrant  garantir
horizontal  horizontal
mattress  matelas
exceptional  exceptionnel
battlefield  champ de bataille
wary  méfiant
bundle  empaqueter
saturated  saturé
embed  intégrer
staffer  membre du personnel
linen  lin
ozone  ozone
parallel  parallèle
robbery  vol
memorable  mémorable
common  commun
recorder  enregistreur
nicely  bien
footstep  pas
prostitute  prostituée
drip  goutte
clove  clou de girofle
shocking  choquant
elevate  élever
loosen  desserrer
forced  forcé
intake  admission
predictor  prédicteur
lottery  loterie
chore  corvée
fringe  la frange
shopper  client
lengthy  longue
hedge  haie
tattoo  tatouage
reduced  réduit
lease  louer
log  journal
heating  chauffage
telecommunications  télécommunications
murmur  murmure
coral  corail
academic  académique
scan  analyse
appliance  appareil
maid  femme de ménage
circus  cirque
gauge  jauge
census  recensement
detail  détail
rationale  raisonnement
corps  corps
lieutenant  lieutenant
inhabit  habiter
injustice  injustice
soviet  soviétique
quota  quota
stride  foulée
excess  excès
excerpt  extrait
motorcycle  moto
soy  soja
miniature  miniature
insurer  assureur
oversight  surveillance
dub  doubler
warrant  garantir
copyright  droits d'auteur
reunion  réunion
ripe  mûr
viewpoint  point de vue
unbelievable  incroyable
snatch  arracher
coordination  coordination
amazed  étonné
jewel  bijou
accord  accord
slogan  slogan
outrageous  scandaleux
waiting  attendre
large-scale  grande échelle
overly  trop
coat  manteau
perch  perche
shrine  tombeau
feminist  féministe
feed  alimentation
all-star  all-star
individually  individuellement
albeit  quoique
mold  mouler
misery  misère
adequately  adéquatement
nickname  surnom
(avenue)  (rue)
addict  toxicomane
dial  cadran
staff  personnel
marginal  marginal
mustard  moutarde
berry  baie
ramp  rampe
mug  agresser
controller  manette
villager  villageois
watercolor  aquarelle
cleaning  nettoyage
fertility  la fertilité
relaxed  détendu
hail  grêle
local  local
indoor  intérieur
secretly  secrètement
whatsoever  quoi que ce soit
grave  la tombe
notify  notifier
garment  vêtement
activate  activer
naive  naïve
exert  exercer
arctic  arctique
certification  certification
trustee  curateur
hug  câlin
caregiver  soignant
kindergarten  jardin d'enfants
cereal  céréale
fracture  fracture
quilt  courtepointe
turnover  chiffre d'affaires
sensible  sensible
socioeconomic  socio-économique
african  africain
pyramid  pyramide
bachelor  célibataire
protestant  protestant
moving  en mouvement
tract  tract
operational  opérationnel
convincing  convaincant
decoration  décoration
proudly  fièrement
descendant  descendant
lump  morceau
scarf  foulard
wide  large
freeway  autoroute
clash  choc
upward  vers le haut
newsletter  bulletin
mammal  mammifère
yank  coup sec
multiply  multiplier
pumpkin  citrouille
imitate  imiter
sampling  échantillonnage
ground  sol
configuration  configuration
velvet  velours
notorious  célèbre
compost  compost
cough  la toux
stereo  stéréo
lethal  mortel
olive  olive
roller  rouleau
entail  entraîner
toast  griller
filmmaker  réalisateur
credential  justificatif
swirl  tourbillon
broadly  largement
smoothly  doucement
fix  réparer
ham  jambon
distraction  distraction
fling  jeter
livestock  bétail
basin  bassin
roam  errer
heroic  héroïque
heir  héritier
foam  mousse
offset  décalage
insure  assurer
asteroid  astéroïde
interface  interface
tomb  tombeau
abandoned  abandonné
bald  chauve
bookstore  librairie
straightforward  directe
anticipation  anticipation
don  enfiler
frustrating  frustrant
glorious  glorieux
honesty  honnêteté
encouragement  encouragement
crisp  croustillant
selective  sélectif
meditation  méditation
protester  manifestant
fearful  craintif
sausage  saucisson
(pope)  (le pape)
overturn  renverser
aging  vieillissement
deprive  priver
compact  compact
transcript  transcription
beautifully  magnifiquement
standpoint  point de vue
empower  habiliter
mainland  continent
flourish  fleurir
tug  remorqueur
shiver  frisson
lobster  homard
solidarity  solidarité
discharge  décharge
turning  tournant
detection  détection
saddle  selle
shield  bouclier
artwork  ouvrages d'art
lasting  durable
occurrence  occurrence
partisan  partisan
abundant  abondant
prone  enclin
renewed  renouvelé
hose  tuyau
aggressively  agressivement
tap  robinet
formidable  redoutable
liberation  libération
hammer  marteau
confusing  déroutant
exclusion  exclusion
burial  enterrement
mobilize  mobiliser
vigorous  vigoureux
unwilling  réticent
lazy  fainéant
passport  passeport
packet  paquet
fond  aime
questionable  discutable
surplus  surplus
poise  équilibre
greek  grec
marital  matrimonial
vicious  vicieux
photographic  photographique
surroundings  alentours
victorian  victorien
homemade  fait maison
caution  mise en garde
drape  draper
evangelical  évangélique
spokeswoman  porte-parole
construct  construction
(eagle)  (aigle)
wedge  coin
coffin  cercueil
server  serveur
shed  hangar
sandy  sablonneux
wait  attendre
tense  tendu
archaeologist  archéologue
disturbance  perturbation
fashion  mode
comparative  comparatif
pharmaceutical  pharmaceutique
leisure  loisirs
prototype  prototype
vegetation  végétation
magnet  aimant
emit  émettre
acquaintance  connaissance
unusually  exceptionnellement
scratch  rayure
contempt  mépris
lender  prêteur
seasonal  saisonnier
bastard  bâtard
efficacy  efficacité
anthropologist  anthropologiste
desired  voulu
(per)  (par)
wheel  roue
considering  considérant
zoo  zoo
module  module
dominance  dominance
ample  ample
theorist  théoricien
disadvantage  désavantage
stripe  bande
commission  commission
throw  lancer
potent  puissant
foremost  avant toute chose
exclaim  exclamer
clip  agrafe
tee  tee
reported  signalé
dentist  dentiste
crossing  traversée
den  tanière
sorrow  tristesse
oyster  huître
decrease  diminuer
adverse  négatif
provincial  provincial
conditioning  conditionnement
scholarly  savant
improving  améliorer
exaggerate  exagérer
opposite  opposé
whisk  fouet
pastry  pâtisserie
decisive  décisif
reactor  réacteur
seventeen  dix-sept
visually  visuellement
curl  boucle
volcano  volcan
jealous  jaloux
molecular  moléculaire
greeting  salutation
satisfying  satisfaisant
arch  cambre
wage  salaire
desert  désert
sleeping  dormant
pasture  pâturage
rebellion  rébellion
team  équipe
constituency  circonscription électorale
chuckle  glousser
swamp  marais
dash  tiret
awesome  impressionnant
lesbian  lesbienne
evidently  évidemment
standardized  standardisé
steering  pilotage
coming  à venir
(communist)  (communiste)
deliberate  délibérer
fictional  fictif
map  carte
bait  appât
usage  usage
novelist  romancier
sore  douloureux
blend  mélanger
subscale  sous-échelle
reef  récif
oath  serment
embargo  embargo
boost  renforcer
erect  ériger
registered  inscrit
efficiently  efficacement
implant  implant
deficiency  carence
antique  antique
nephew  neveu
middle-aged  âge moyen
vintage  ancien
blur  se brouiller
enrollment  inscription
dietary  diététique
fertilizer  engrais
fairy  fée
freezing  gelé
altitude  altitude
glare  éblouissement
squint  strabisme
flashlight  lampe de poche
breed  élever
nationwide  à l'échelle nationale
urgency  urgence
five-year  cinq ans
span  envergure
protected  protégé
recruitment  recrutement
handy  pratique
racist  raciste
download  télécharger
oddly  bizarrement
varied  varié
tag  étiqueter
hammer  marteau
differentiate  différencier
collaborate  collaborer
follow-up  suivre
succession  succession
waitress  serveuse
tricky  rusé
elk  wapiti
brazilian  brésilien
remnant  reste
cement  ciment
morally  moralement
recite  réciter
communal  communautaire
sip  siroter
situate  situer
guiding  guidage
unemployed  sans emploi
cuisine  cuisine
hint  indice
thinker  penseur
expanding  expansion
wrestle  lutter
click  cliquez sur
interference  ingérence
underestimate  sous-estimer
spoil  gâcher
bacon  bacon
maturity  maturité
devastate  dévaster
clause  clause
navigate  naviguer
committed  engagé
collaborative  collaboratif
robust  robuste
mature  mature
darling  chéri
fit  ajuster
parlor  parloir
bulletin  bulletin
ecology  écologie
phone  téléphoner
northwestern  nord-ouest
deployment  déploiement
accessory  accessoire
resent  en vouloir
terrace  terrasse
continuity  continuité
indirect  indirect
overseas  à l'étranger
petty  petit
temper  tempérer
grass-roots  à la base
blossom  fleur
smiling  souriant
genuinely  véritablement
obsessed  obsédé
wrap  envelopper
spacecraft  vaisseau spatial
ritual  rituel
long-standing  de longue date
up  en haut
generic  générique
stride  foulée
bureaucratic  bureaucratique
marathon  marathon
globalization  mondialisation
water  l'eau
prestigious  prestigieux
discomfort  malaise
scale  escalader
icy  glacé
applied  appliqué
backpack  sac à dos
massacre  massacre
spur  éperon
trench  tranchée
low-income  faible revenu
deviation  déviation
spirituality  spiritualité
nail  clou
whistle  siffler
down  vers le bas
cinnamon  canelle
devotion  dévouement
governance  gouvernance
diesel  diesel
astronomy  astronomie
appropriately  de manière appropriée
insane  insensé
unpleasant  désagréable
roster  liste
skeleton  squelette
briefing  compte rendu
spawn  frayer
entertaining  divertissant
sew  coudre
inflict  infliger
dump  décharger
marked  marqué
compound  composé
indict  accuser
muddy  boueux
profoundly  profondément
two-year  deux ans
boil  ébullition
nurse  infirmière
occupational  professionnel
singing  en chantant
turtle  tortue
trio  trio
ferry  traversier
leverage  effet de levier
consulting  consultant
sticky  collant
comeback  revenir
thereafter  après
conflicting  contradictoire
clergy  le clergé
astonishing  étonnant
renewal  renouvellement
turmoil  la tourmente
painted  peint
migrate  émigrer
perfection  la perfection
referral  référence
randomly  au hasard
keen  enthousiaste
sustained  soutenu
rite  rite
offspring  progéniture
mathematical  mathématique
imaginary  imaginaire
orient  orient
archive  archiver
adhere  adhérer
receipt  le reçu
knock  frappe
full  plein
re-create  recréer
radically  radicalement
pillar  pilier
swedish  suédois
probe  sonde
underwear  sous-vêtement
contamination  contamination
appropriation  appropriation
type  taper
uneasy  inquiet
lesbian  lesbienne
disappearance  disparition
unacceptable  inacceptable
surge  monter
privileged  privilégié
carriage  le chariot
sporting  sportif
canadian  canadien
messenger  messager
artillery  artillerie
hitter  frappeur
pavement  chaussée
moist  humide
retention  rétention
relevance  pertinence
mentality  mentalité
postpone  remettre à plus tard
motif  motif
contention  contention
tractor  tracteur
beneficiary  bénéficiaire
helpless  sans espoir
tackle  s'attaquer à
ballet  ballet
statewide  à l'échelle de l'état
hobby  loisir
craft  artisanat
bosnian  bosniaque
velocity  rapidité
critically  critique
pathway  sentier
reconcile  réconcilier
(up)  (en haut)
compartment  compartiment
policymaker  décideur politique
madness  la démence
hub  moyeu
noisy  bruyant
opposing  opposé
cleaner  nettoyeur
insult  insulter
asthma  asthme
usher  huissier
respected  respecté
golfer  golfeur
misleading  trompeur
fury  fureur
embark  embarquer
spontaneous  spontané
tour  visiter
slender  mince
proliferation  prolifération
term  terme
bat  chauve souris
bloom  floraison
necklace  collier
perimeter  périmètre
brochure  brochure
blouse  chemisier
firing  cuisson
proximity  proximité
lettuce  salade
manifestation  manifestation
brace  entretoise
perfume  parfum
matching  correspondant à
symbolize  symboliser
stamp  timbre
flock  troupeau
rivalry  rivalité
firearm  arme à feu
sermon  sermon
refine  affiner
bond  lier
rival  rival
volatile  volatil
oval  ovale
mule  mule
rigorous  rigoureux
supplement  supplément
linebacker  secondeur
delighted  ravi
turf  gazon
hurdle  obstacle
canoe  canoë
sturdy  robuste
broaden  élargir
drift  dérive
definitive  définitive
workforce  la main d'oeuvre
propel  propulser
voyage  voyage
parsley  persil
replicate  reproduire
distort  fausser
discharge  décharge
scoop  scoop
kind  type
radical  radical
swift  rapide
overweight  en surpoids
advancement  avancement
basics  bases
split  diviser
undo  annuler
tab  languette
stalk  traquer
intimidate  intimider
goddess  déesse
verge  bord
plague  la peste
sergeant  sergent
batch  grouper
grandson  petit fils
lace  dentelle
passing  qui passe
bipartisan  biparti
(lord)  (seigneur)
deter  dissuader
smoker  fumeur
expire  expirer
